0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:16:24 +0500] "OPTIONS /VIM/getAllCustomForms HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:16:24 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:16:26 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:16:26 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:16:26 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:16:26 +0500] "GET /VIM/allMenu HTTP/1.1" 200 18547
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:16:37 +0500] "GET /VIM/getNextApplicationCode?formId=576 HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:01 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:01 +0500] "OPTIONS /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:01 +0500] "OPTIONS /VIM/getAllCustomForms HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:05 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:05 +0500] "GET /VIM/allSubMenuRole?roleId=1&userId=145 HTTP/1.1" 200 43569
0:0:0:0:0:0:0:1 - - [26/Jan/2026:15:26:05 +0500] "GET /VIM/getAllCustomForms HTTP/1.1" 200 19572
